product_id,product_name,category,subcategory,brand,current_price,cost
PRD-0046,KitchenAid Kitchen Pro,Home & Garden,Kitchen,KitchenAid,396.02,161.15
PRD-0047,Dyson Kitchen Plus,Home & Garden,Kitchen,Dyson,615.41,254.07
PRD-0048,Black+Decker Kitchen Pro,Home & Garden,Kitchen,Black+Decker,446.05,190.24
PRD-0049,IKEA Bedding Pro,Home & Garden,Bedding,IKEA,346.74,146.04
PRD-0050,KitchenAid Bedding Plus,Home & Garden,Bedding,KitchenAid,587.27,246.72
PRD-0051,Dyson Bedding Plus,Home & Garden,Bedding,Dyson,795.2,369.76
PRD-0052,Black+Decker Bedding Plus,Home & Garden,Bedding,Black+Decker,420.78,173.4
PRD-0053,IKEA Tools Plus,Home & Garden,Tools,IKEA,280.06,128.5
PRD-0054,KitchenAid Tools Pro,Home & Garden,Tools,KitchenAid,187.65,76.39
PRD-0055,Dyson Tools Pro,Home & Garden,Tools,Dyson,194.49,95.41
PRD-0056,Black+Decker Tools Pro,Home & Garden,Tools,Black+Decker,70.55,29.9
PRD-0057,Under Armour Fitness Pro,Sports,Fitness,Under Armour,93.34,33.9
PRD-0058,Patagonia Fitness Pro,Sports,Fitness,Patagonia,232.14,92.22
PRD-0059,The North Face Fitness Plus,Sports,Fitness,The North Face,324.12,119.61
PRD-0060,Garmin Fitness Plus,Sports,Fitness,Garmin,177.68,69.71
PRD-0061,Under Armour Outdoor Pro,Sports,Outdoor,Under Armour,293.61,122.53
PRD-0062,Patagonia Outdoor Plus,Sports,Outdoor,Patagonia,48.28,18.84
PRD-0063,The North Face Outdoor Plus,Sports,Outdoor,The North Face,345.19,129.4
PRD-0064,Garmin Outdoor Plus,Sports,Outdoor,Garmin,184.51,72.36
PRD-0065,Under Armour Team Sports Plus,Sports,Team Sports,Under Armour,107.17,47.4
PRD-0066,Patagonia Team Sports Plus,Sports,Team Sports,Patagonia,345.06,139.76
PRD-0067,The North Face Team Sports Pro,Sports,Team Sports,The North Face,398.72,172.89
PRD-0068,Garmin Team Sports Plus,Sports,Team Sports,Garmin,370.36,161.06
PRD-0069,Under Armour Cycling Plus,Sports,Cycling,Under Armour,198.91,73.87
PRD-0070,Patagonia Cycling Pro,Sports,Cycling,Patagonia,32.81,12.73
PRD-0071,The North Face Cycling Plus,Sports,Cycling,The North Face,113.16,48.48
PRD-0072,Garmin Cycling Pro,Sports,Cycling,Garmin,174.55,77.8
PRD-0073,Penguin Fiction Plus,Books,Fiction,Penguin,36.34,9.88
PRD-0074,O'Reilly Fiction Pro,Books,Fiction,O'Reilly,23.13,6.87
PRD-0075,Scholastic Fiction Plus,Books,Fiction,Scholastic,35.65,9.8
PRD-0076,HarperCollins Fiction Pro,Books,Fiction,HarperCollins,37.79,9.46
PRD-0077,Penguin Non-Fiction Plus,Books,Non-Fiction,Penguin,16.03,4.75
PRD-0078,O'Reilly Non-Fiction Pro,Books,Non-Fiction,O'Reilly,17.48,4.54
PRD-0079,Scholastic Non-Fiction Pro,Books,Non-Fiction,Scholastic,20.0,4.24
PRD-0080,HarperCollins Non-Fiction Pro,Books,Non-Fiction,HarperCollins,20.56,5.33
PRD-0081,Penguin Technical Pro,Books,Technical,Penguin,29.38,7.59
PRD-0082,O'Reilly Technical Pro,Books,Technical,O'Reilly,55.67,12.27
PRD-0083,Scholastic Technical Pro,Books,Technical,Scholastic,20.17,4.83
PRD-0084,HarperCollins Technical Pro,Books,Technical,HarperCollins,23.3,5.4
PRD-0085,Penguin Children's Pro,Books,Children's,Penguin,11.7,2.88
PRD-0086,O'Reilly Children's Plus,Books,Children's,O'Reilly,58.8,12.19
PRD-0087,Scholastic Children's Pro,Books,Children's,Scholastic,21.53,6.32
PRD-0088,HarperCollins Children's Plus,Books,Children's,HarperCollins,52.84,12.52
